Phate_x,Phate_y
0.027895918,0.001774786
0.046730173,0.032525412
0.042694965,0.027649935
0.020470036,-0.008254162
0.02051115,-0.008059549
0.04728845,0.033162662
0.021875117,-0.004037736
0.029362993,0.002136888
0.045813387,0.033158631
0.022455966,-0.003585133
0.047281464,0.035506164
0.045336728,0.033870231
0.0254707,-0.001393743
0.031747076,0.004485161
0.021741037,-0.004946275
0.046612037,0.031932307
0.03235224,0.005358074
0.020839471,-0.004247894
0.023079376,-0.004728839
0.022945299,-0.004215924
0.019902348,-0.008931159
0.024076293,-0.00277284
0.03142559,0.004207782
0.016211443,-0.007433291
0.046040717,0.03143091
0.018660023,-0.007502026
0.019529149,0.004314077
0.0473835,0.033067658
0.022863446,-0.002810343
0.038368067,0.020781861
0.02714519,-0.000831514
0.045783795,0.033899723
0.020495277,0.002773006
0.019941686,-0.008587078
0.021878937,-0.002185679
0.02233255,-0.004691911
0.020489229,-0.006989405
0.032653005,0.00628385
0.045728985,0.030874943
0.046466436,0.032027127
0.046813063,0.032736908
0.046654134,0.0334031
0.021044512,-0.003626881
0.024824383,0.007218473
0.047730443,0.035856699
0.024051711,-0.003029139
0.021495706,-0.005892701
0.019269456,-0.007015066
0.021944709,-0.004396245
0.024521975,-0.002477635
0.04620471,0.031240011
0.025533868,-0.001408118
0.020668672,-0.006079709
0.020266103,-0.006333473
0.04645508,0.031900836
0.015378707,0.011171019
0.022218065,-0.005370267
0.018156403,-0.008519475
0.043290947,0.026567177
0.032334894,0.010627936
0.021002593,-0.004423172
0.047843786,0.03644948
0.044256002,0.025673098
0.019836377,-0.006274495
0.020320432,-0.004671449
0.04674301,0.034952828
0.044815534,0.029072215
0.047607103,0.035788324
0.019080038,-0.007403712
0.020821037,-0.006703607
0.02760482,0.000104084
0.023007381,-0.004133671
0.023419998,-0.003796635
0.046245168,0.031213576
0.047917558,0.036074292
0.027567234,0.002988972
0.027435649,0.000422664
0.02005896,-0.006820734
0.020336208,-0.007662084
0.0469814,0.033230873
0.019869467,-0.007051248
0.021060663,-0.004270604
0.047374658,0.035727775
0.024625584,0.007451252
0.027949417,0.000883925
0.021571551,-0.006067686
0.022837863,-0.004025036
0.0475453,0.035696264
0.026157282,-0.001373877
0.02271661,-0.004538962
0.046106835,0.033640089
0.020747151,-0.005127406
0.03652502,0.01848456
0.019570655,-0.007142247
0.019092067,-0.008534929
0.025837322,-0.000129362
0.02094302,-0.006380131
0.021078428,-0.006437255
0.023680699,-0.00379924
0.018639144,0.007270642
0.045465243,0.029425792
0.022409483,0.005046825
0.045034966,0.032656283
0.030947682,0.005978879
0.045986938,0.034037824
0.022599443,-0.004490372
0.047288209,0.032537113
0.016579448,0.010721655
0.045297847,0.033937031
0.027640233,0.000692334
0.019551491,-0.008320155
0.02124352,-0.006609785
0.04651775,0.0323952
0.028447002,0.000245911
0.023205433,-0.001776796
0.045952722,0.034209154
0.021617985,-0.004707912
0.046854467,0.031898852
0.046256055,0.031889997
0.045490855,0.034326632
0.026196701,-0.001066004
0.04811585,0.036411509
0.020645545,-0.006063223
0.046015384,0.033481906
0.045815143,0.032158803
0.013141602,0.010255482
0.016431052,0.010255811
0.045078265,0.029584654
0.020182953,-0.008125595
0.046301081,0.030862785
0.044152379,0.02630639
0.044907674,0.033524961
0.046122124,0.0353485
0.024895024,-0.002193226
0.046115848,0.033681066
0.024362755,-0.003027307
0.019511188,-0.009364311
0.020642208,-0.007253548
0.024348423,-0.002971238
0.047292965,0.03322416
0.019180744,0.000683034
0.03003997,0.002997044
0.020270919,-0.006802849
0.047358886,0.032858474
0.009709807,0.007538847
0.019941599,-0.008023129
0.028342008,0.000908238
0.021174127,-0.005230619
0.044664587,0.032985952
0.023301343,-0.003722918
0.047565925,0.034128715
0.021661433,-0.005796934
0.047585629,0.035212343
0.021802215,-0.003149908
0.023291499,-0.004666413
0.02565972,-0.001628581
0.047191756,0.034107459
0.046276328,0.034271146
0.011130765,0.007390294
0.04497015,0.0327411
0.018672382,-0.009772539
0.030156582,0.004583687
0.02121799,-0.006399352
0.020901627,-0.005304804
0.020247004,-0.008113022
0.046584261,0.033622086
0.020379796,-0.008183615
0.023515239,-0.003998001
0.021768177,-0.004717223
0.021242756,-0.006375729
0.043209754,0.03012536
0.022799254,-0.004925375
0.022033003,-0.005499997
0.044587313,0.028165555
0.045630104,0.029448984
0.01998003,-0.007332531
0.020331621,-0.007057647
0.023822758,-0.003107153
0.021278494,-0.002204885
0.046988607,0.03207476
0.02030748,-0.004352453
0.02053361,-0.006778812
0.043666427,0.026150606
0.014945553,0.010952713
0.012666376,0.013466418
0.04637387,0.031327497
0.027331546,0.000212621
0.018935621,-0.006462802
0.04545283,0.033235225
0.02452082,-0.002338674
0.018137837,-0.009142037
0.012190195,0.007188501
0.014008702,0.012640825
0.019270362,-0.009492711
0.021956762,-0.005227772
0.023976045,-0.003100587
0.020305498,-0.007635849
0.046565048,0.03129713
0.02269564,-0.004650724
0.019641754,-0.007744474
0.021196261,-0.006337623
0.021670256,-0.005523043
0.019488028,-0.006692266
0.020457805,-0.007385966
0.021473213,-0.006096328
0.020762082,-0.006110074
-0.007659046,0.012412619
0.020003645,-0.007190626
0.044855696,0.027659231
0.021373634,-0.00512695
0.019994437,-0.008886211
0.044517858,0.026603527
0.044553995,0.026623384
0.019634006,-0.005077857
0.020331192,-0.003485373
0.019764087,-0.00625169
0.024872929,-0.00234924
0.021223313,-0.006451246
0.047435995,0.036060225
0.027738765,0.000219969
0.045919686,0.034461574
0.019919923,-0.006573403
-0.01294418,0.010547748
0.024449865,-0.0026502
0.046923049,0.034567767
0.020584767,-0.005777794
0.023121096,-0.003945781
0.020226733,0.001073374
0.046449117,0.031952171
0.04633916,0.032155734
0.018128229,-0.009977373
0.026039836,-0.00117704
0.022119597,0.002065007
0.027197477,0.003464856
0.017448671,0.008966436
0.023120462,-0.004838999
0.045242238,0.033759625
0.047722656,0.036003052
0.047889121,0.035217377
0.029945362,0.002332432
0.019328603,-0.006633211
0.002792281,-0.006943127
0.021182256,-0.00665771
0.018815386,-0.007332545
0.021932631,-0.004536276
0.022834731,-0.004061582
0.02071855,-0.006268703
-0.00794642,0.012551557
0.021901492,-0.005045772
0.020512141,-0.003812534
0.047361001,0.034953694
0.020241893,-0.006205007
0.021252348,-0.006626348
0.020612687,-0.005962084
0.024005642,-0.00338751
0.0347412,0.010193396
0.045411271,0.033757043
0.04768365,0.033900089
0.029643003,0.002534674
0.026002502,-0.001659671
0.047640103,0.035919979
0.02088802,-0.004471928
0.044685354,0.026910417
0.022332238,-0.004110733
0.046878428,0.032780036
0.045847678,0.030630923
0.021436982,-0.006903469
0.024892552,-0.002452537
0.019534725,0.004843295
0.020237843,-0.00811384
0.047297554,0.03469521
0.035296817,0.018238191
0.047644511,0.035695715
0.020323526,-0.006516997
0.020947166,-0.004205954
0.021640241,-0.005641903
0.021346179,-0.005645816
0.044725067,0.03203433
0.04062484,0.019164532
0.028234557,0.006584631
0.047286111,0.035314733
0.043268574,0.026550721
0.01963487,-0.009125052
0.046390248,0.031273277
0.023810527,-0.003539116
0.019716063,-0.005814344
0.019458973,-0.007459895
0.019616764,-0.009426135
0.043021541,0.02554859
0.021503392,-0.002954988
0.02387031,-0.003642848
0.044844151,0.032296646
0.019062114,-0.0074783
0.045622493,0.033405676
0.047469155,0.035112701
0.014315589,0.011619411
0.045698714,0.032138685
0.019697086,-0.009166391
0.019794401,-0.008310642
0.015866516,-0.008363302
0.045563105,0.028647046
0.032186835,0.005940422
0.046716249,0.031099343
0.022773641,-0.00428438
0.046031823,0.032989772
0.044300893,0.031541363
0.044895959,0.027942938
0.01936664,-0.007556331
0.01993249,0.004441957
0.017756628,-0.00699691
0.017836817,-0.007446807
0.022805096,-0.004515323
0.023456126,-0.002971534
0.046053376,0.033328097
0.022419341,-0.004930534
0.021552725,-0.001203901
0.020673887,-0.00701574
0.019886791,-0.007347122
0.043340068,0.025316406
0.045363536,0.028200249
0.046988483,0.035004162
0.023113069,-0.00331602
0.047298445,0.032548753
0.02391584,-0.003792919
0.046299789,0.034658948
0.022390698,-0.00341073
0.047945971,0.036240848
0.026556112,0.004432641
0.025752394,-0.001451961
0.027209551,0.001810449
0.046152727,0.033331691
0.045316706,0.03359711
0.018247503,-0.004417132
0.021798712,-0.003448157
0.020096073,-0.008126231
0.047763963,0.035490272
0.022518685,-0.003620044
0.030367948,0.003135249
0.023944002,-0.003614484
0.045510969,0.028530682
0.047344104,0.034035425
0.025731087,-0.001627603
0.043213628,0.026691035
0.046002668,0.031219919
0.044363838,0.032315627
0.047782931,0.036101107
0.045246208,0.032672021
0.046904969,0.032555646
0.046005021,0.030227243
0.022003495,-0.006370197
0.026306041,-0.001195289
0.031680061,0.005496537
0.0213266,-0.005504488
0.035464411,0.017464399
0.023998944,-0.003473044
0.019872533,-0.007120167
0.018293323,-0.009921101
0.024144259,-0.003809049
0.043780354,0.027008612
0.047069365,0.032521055
0.045839502,0.030029074
0.038534546,0.01479565
0.021194476,-0.005955643
0.021120646,-0.005287065
